time,flappyHeight,flappyX,verticalSpeed,distToRoof,nearest_dx,nearest_y,action
1.9585165,0.692661,0.200000,0.012500,0.307339,0.019925,0.584053,0
1.9668498,0.692800,0.200000,0.008333,0.307200,0.016592,0.584053,0
1.9751831,0.692870,0.200000,0.004167,0.307130,0.013258,0.584053,0
1.9835165,0.692870,0.200000,0.000000,0.307130,0.009925,0.584053,0
1.9918498,0.692800,0.200000,-0,004167.0,307200.0,006592.0,584053.0
2.000183,0.692661,0.200000,-0,008333.0,307339.0,003258.0,584053.0
2.0085166,0.692453,0.200000,-0,012500.0,307547.0,499923.0,320454.0
2.01685,0.692175,0.200000,-0,016667.0,307825.0,496590.0,320454.0
2.0251834,0.691828,0.200000,-0,020833.0,308172.0,493256.0,320454.0
2.033517,0.691411,0.200000,-0,025000.0,308589.0,489923.0,320454.0
2.0418503,0.690925,0.200000,-0,029167.0,309075.0,486590.0,320454.0
2.0501838,0.690370,0.200000,-0,033333.0,309630.0,483256.0,320454.0
2.0585172,0.689745,0.200000,-0,037500.0,310255.0,479923.0,320454.0
2.0668507,0.689050,0.200000,-0,041667.0,310950.0,476589.0,320454.0
2.075184,0.688286,0.200000,-0,045833.0,311714.0,473256.0,320454.0
2.0835176,0.687453,0.200000,-0,050000.0,312547.0,469923.0,320454.0
2.091851,0.686550,0.200000,-0,054167.0,313450.0,466589.0,320454.0
2.1001844,0.685578,0.200000,-0,058333.0,314422.0,463256.0,320454.0
2.108518,0.684536,0.200000,-0,062500.0,315464.0,459923.0,320454.0
2.1168513,0.683425,0.200000,-0,066667.0,316575.0,456589.0,320454.0
2.1251848,0.682245,0.200000,-0,070833.0,317755.0,453256.0,320454.0
2.1335182,0.680995,0.200000,-0,075000.0,319005.0,449923.0,320454.0
2.1418517,0.679675,0.200000,-0,079167.0,320325.0,446589.0,320454.0
2.150185,0.678286,0.200000,-0,083333.0,321714.0,443256.0,320454.0
2.1585186,0.676828,0.200000,-0,087500.0,323172.0,439923.0,320454.0
2.166852,0.675300,0.200000,-0,091667.0,324700.0,436589.0,320454.0
2.1751854,0.673703,0.200000,-0,095833.0,326297.0,433256.0,320454.0
2.183519,0.672036,0.200000,-0,100000.0,327964.0,429923.0,320454.0
2.1918523,0.670300,0.200000,-0,104167.0,329700.0,426589.0,320454.0
2.2001858,0.668495,0.200000,-0,108333.0,331505.0,423256.0,320454.0
2.2085192,0.666620,0.200000,-0,112500.0,333380.0,419923.0,320454.0
2.2168527,0.664675,0.200000,-0,116667.0,335325.0,416589.0,320454.0
2.225186,0.662661,0.200000,-0,120833.0,337339.0,413256.0,320454.0
2.2335196,0.660578,0.200000,-0,125000.0,339422.0,409923.0,320454.0
2.241853,0.658425,0.200000,-0,129167.0,341575.0,406589.0,320454.0
2.2501864,0.656203,0.200000,-0,133333.0,343797.0,403256.0,320454.0
2.25852,0.653911,0.200000,-0,137500.0,346089.0,399923.0,320454.0
2.2668533,0.651550,0.200000,-0,141667.0,348450.0,396589.0,320454.0
2.2751868,0.649120,0.200000,-0,145833.0,350880.0,393256.0,320454.0
2.2835202,0.646620,0.200000,-0,150000.0,353380.0,389923.0,320454.0
2.2918537,0.644050,0.200000,-0,154167.0,355950.0,386589.0,320454.0
2.300187,0.641411,0.200000,-0,158333.0,358589.0,383256.0,320454.0
2.3085206,0.638703,0.200000,-0,162500.0,361297.0,379923.0,320454.0
2.316854,0.635925,0.200000,-0,166667.0,364075.0,376589.0,320454.0
2.3251874,0.633078,0.200000,-0,170833.0,366922.0,373256.0,320454.0
2.333521,0.630161,0.200000,-0,175000.0,369839.0,369923.0,320454.0
2.3418543,0.627175,0.200000,-0,179167.0,372825.0,366589.0,320454.0
2.3501878,0.624120,0.200000,-0,183333.0,375880.0,363256.0,320454.0
2.3585212,0.620995,0.200000,-0,187500.0,379005.0,359923.0,320454.0
2.3668547,0.617800,0.200000,-0,191667.0,382200.0,356590.0,320454.0
2.375188,0.614536,0.200000,-0,195833.0,385464.0,353256.0,320454.0
2.3835216,0.611203,0.200000,-0,200000.0,388797.0,349923.0,320454.0
